,term,score,Df,std,mean,idf,sec_std
10,equal,0.10545238094395541,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
11,kubectl,0.10545238094395541,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
12,in,0.10049724907584626,5.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
13,corev1api,0.09038775509481893,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
14,for,0.08614049920786822,5.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
15,version,0.08507831696339983,2.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
16,we,0.07532312924568245,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
17,generated,0.07532312924568245,1.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
18,cd,0.07532312924568245,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
19,item,0.07532312924568245,1.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
20,gen,0.07532312924568245,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
21,list,0.07292427168291414,2.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
22,api,0.0717837493398902,5.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
23,example,0.060770226402428455,2.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
24,models,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
25,objects,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.4054651081081644,0.11872705845103274
26,directory,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.0,0.11872705845103274
27,apis,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
28,apiexception,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
29,apiclient,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.1823215567939547,0.11872705845103274
30,v1namespace,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
31,cluster,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.1823215567939547,0.11872705845103274
32,resource,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
33,running,0.060258503396545954,1.0,0.04427451050346996,0.03017803744409281,1.0,0.11872705845103274
34,new,0.050922884563227584,4.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
35,configuration,0.05044477751319907,3.0,0.04427451050346996,0.03017803744409281,1.0,0.11872705845103274
36,and,0.05024862453792313,5.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
37,resources,0.04861618112194276,2.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
38,config,0.04861618112194276,2.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
39,build,0.04861618112194276,2.0,0.04427451050346996,0.03017803744409281,1.4054651081081644,0.11872705845103274
40,com,0.04861618112194276,2.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
41,run,0.04861618112194276,2.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
42,exec,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,1.1823215567939547,0.11872705845103274
43,then,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
44,whenever,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
45,git,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
46,src,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
47,patch,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,1.6931471805599454,0.11872705845103274
48,jar,0.045193877547409465,1.0,0.04427451050346996,0.03017803744409281,2.09861228866811,0.11872705845103274
